Name,R.A.,Dec.,16cm,4cm,15mm,7mm,3mm
0000-177,00:03:22,-17:27:12,1.816,0.818,0.345,0.004,0.052
J0004-1148,00:04:04,-11:48:58,,0.315,,,
0002-478,00:04:36,-47:36:20,0.383,0.524,0.447,0.409,0.687
0003-066,00:06:14,-06:23:35,3.822,5.018,4.446,2.572,3.913
0003-003,00:06:23,-00:04:24,2.944,1.333,0.492,0.158,0.048
0006+061,00:09:04,06:28:21,0.106,0.163,0.164,0.101,0.203
0008-421,00:10:53,-41:53:11,3.32,1.121,0.191,0.058,0.006
0008-264,00:11:01,-26:12:33,0.225,0.325,0.314,0.176,0.276
0009+081,00:11:35,08:23:56,0.547,0.446,0.344,0.236,0.113
J0011-8443,00:11:46,-84:43:20,0.136,0.117,0.085,0.057,0.068
0010-401,00:13:00,-39:54:26,0.826,0.892,0.703,0.42,0.301
0013-005,00:16:11,-00:15:12,0.759,0.592,0.312,0.153,0.162
0016-129,00:18:51,-12:42:33,1.568,0.598,0.169,0.05,0.03
0019-000,00:22:25,00:14:56,2.306,1.044,0.29,0.127,0.025
0019+058,00:22:32,06:08:04,0.323,0.441,0.459,0.442,0.239
0022-423,00:24:43,-42:02:04,3.221,1.715,0.386,0.148,0.013
0023-263,00:25:49,-26:02:13,6.965,3.355,1.19,0.453,0.189
J0026-3512,00:26:16,-35:12:48,0.044,0.19,0.703,0.568,0.254
0024+092,00:27:06,09:29:58,0.154,0.256,0.212,0.12,0.061
J0028-7045,00:28:42,-70:45:16,0.087,0.115,0.132,0.09,0.073
0027+056,00:29:46,05:54:41,0.299,0.477,0.632,0.432,0.211
0027-426,00:30:17,-42:24:46,0.459,0.834,0.989,0.675,0.424
J0033-4236,00:33:48,-42:36:14,0.14,0.227,0.251,0.114,0.042
J0034-4116,00:34:04,-41:16:19,0.276,0.325,0.373,0.397,0.068
0032-203,00:35:09,-20:04:00,1.319,0.441,0.094,0.015,0.007
0036-216,00:38:30,-21:20:04,0.719,0.362,0.139,0.073,0.016
0037-593,00:40:08,-59:03:53,0.701,0.514,0.215,0.098,0.015
0037+011,00:40:14,01:25:46,0.118,0.175,0.225,0.143,0.26
J0040-4253,00:40:33,-42:53:11,0.178,0.152,0.125,0.095,0.017
0038-020,00:40:58,-01:46:32,0.527,0.746,0.702,0.489,0.442
J0042-4030,00:42:01,-40:30:40,0.186,0.172,0.149,0.075,0.011
0039-445,00:42:09,-44:14:16,0.745,0.315,0.116,0.076,0.002
J0042-4333,00:42:25,-43:33:40,0.203,0.166,0.119,0.071,0.095
J0044-8422,00:44:27,-84:22:40,0.641,0.746,0.497,0.294,0.142
0042-357,00:44:41,-35:30:42,1.59,0.865,0.266,0.076,0.003
J0047-7530,00:47:41,-75:30:11,0.288,0.281,0.186,0.105,0.05
J0049-4457,00:49:17,-44:57:11,0.24,0.387,0.41,0.308,2.907
0047+023,00:49:43,02:37:04,0.158,0.198,0.252,0.221,0.412
0047-579,00:49:59,-57:38:27,2.063,1.973,1.908,1.421,0.488
0048-097,00:50:41,-09:29:05,0.282,0.282,0.252,0.179,0.132
0048-447,00:50:52,-44:28:39,0.886,0.285,0.046,0.021,0.004
0048-071,00:51:08,-06:50:02,0.88,0.955,1.25,0.897,0.56
0048-427,00:51:10,-42:26:33,0.826,0.928,0.771,0.478,0.376
J0054-7534,00:54:06,-75:34:04,0.092,0.144,0.24,0.091,0.005
0051-038,00:54:08,-03:33:55,1.517,0.563,0.144,0.015,0.011
J0056-4451,00:56:46,-44:51:02,0.405,0.294,0.19,0.115,0.111
0055+060,00:58:34,06:20:06,0.109,0.253,0.342,0.252,0.538
0056-572,00:58:47,-56:59:11,0.543,0.595,1.024,1.405,1.009
J0058-5219,00:58:56,-52:19:28,0.227,0.262,0.179,,0.152
0056-001,00:59:06,00:06:52,2.165,1.289,0.824,0.494,0.492
0056-172,00:59:07,-17:00:39,1.093,0.316,0.046,0.007,0.005
